Year,President,Party,but_CC,or_CC,nor_CC,without_IN,unless_IN,although_IN,except_IN,terrible_JJ,afraid_JJ,disappointed_JJ,weak_JJ,crazy_JJ,lonely_JJ,suspicious_JJ,inadequate_JJ,worthless_JJ,vain_JJ,dumb_JJ,ignorant_JJ,inferior_JJ,boring_JJ,action_NN,fear_NN,enemy_NN,loss_NN,greed_NN,tragedy_NN,anger_NN,jerk_NN,hated_NN,agony_NN,anguish_NN,lies_NNS,my_PP$,me_PPO,myself_PPL,mine_PP$$,i_PPSS,i'm_PPSS,i've_PPSS,i'll_PPSS,i'd_PPSS,rather_RB,however_RB,besides_RB,sorry_UH,go_VB,take_VB,look_VB,lead_VB,move_VB,run_VB,walk_VB,drive_VB,follow_VB,carry_VB,hate_VB,lie_VB,abandon_VB,arrive_VB,despise_VB,dislike_VB,moved_VBD,followed_VBD,flew_VBD,lied_VBD,going_VBG,taking_VBG,bringing_VBG,carrying_VBG,driven_VBN,arrived_VBN,fled_VBN,goes_VBZ,hates_VBZ,arrives_VBZ,win/loss
1992,clinton920416.txt,Democrat,19,11,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,9,6,0,1,21,1,5,0,0,2,0,0,0,7,2,2,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,2,0,0,0,0,0,0,0,1
1992,clinton920422.txt,Democrat,25,12,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,22,0,0,50,10,0,3,1,1,0,0,0,20,1,9,0,2,1,0,0,0,0,3,0,0,0,0,0,1,0,0,0,16,0,1,0,0,0,0,1,0,0,1
1992,clinton920716.txt,Democrat,41,17,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,31,15,0,0,90,2,1,2,0,0,0,0,0,5,6,3,3,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,8,0,1,0,0,0,0,1,0,0,1
1992,clinton920814.txt,Democrat,7,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,6,0,0,0,0,3,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1992,clinton921002.txt,Democrat,7,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1994,clinton930217.txt,Democrat,41,19,0,2,5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,9,21,0,0,104,0,1,2,2,0,0,0,0,7,6,3,1,2,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,10,2,1,0,0,0,0,1,0,0,1
1994,clinton930430.txt,Democrat,66,37,0,6,6,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,1,0,0,23,31,1,0,167,3,10,2,5,0,1,0,0,12,12,5,3,2,4,0,5,1,0,0,0,0,0,0,0,0,0,0,0,30,3,1,0,2,0,0,4,0,0,1
1994,clinton940125.txt,Democrat,40,18,1,11,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,0,1,0,0,0,0,0,0,14,12,0,0,85,2,1,0,2,0,0,0,0,7,11,4,0,4,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,6,1,1,1,0,0,0,1,0,0,1
1994,clinton940201.txt,Democrat,19,11,0,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,5,0,0,49,4,0,0,0,0,0,1,0,8,7,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,1,0,0,1
1994,clinton940315.txt,Democrat,57,28,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,21,24,3,1,145,28,9,4,3,0,1,0,0,17,6,1,0,2,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,39,1,0,0,0,0,0,0,0,0,1
1994,clinton940801.txt,Democrat,7,6,0,3,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,40,1,0,0,0,0,1,0,0,2,5,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,1
1994,clinton941019.txt,Democrat,28,11,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,11,0,1,94,6,3,2,0,1,0,0,0,7,4,9,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,1
1994,clinton941209.txt,Democrat,11,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,6,0,0,20,0,1,1,0,0,0,0,0,1,4,1,2,2,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,1
1994,clinton950110.txt,Democrat,30,16,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,8,12,0,0,76,4,2,0,2,0,0,0,0,6,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,1,0,0,0,0,0,0,1
1994,clinton950113.txt,Democrat,25,6,2,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,4,0,0,34,2,0,0,0,0,0,0,0,2,3,3,4,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
1994,clinton950121.txt,Democrat,33,11,0,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,11,0,0,98,5,6,4,3,0,0,0,0,14,3,3,0,3,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,5,0,0,1,0,0,0,0,0,0,1
1994,clinton950124.txt,Democrat,62,31,0,9,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,12,11,0,0,112,7,5,6,2,1,0,0,0,16,5,5,2,6,2,0,0,0,4,0,0,0,0,0,0,2,0,0,0,9,2,1,0,0,0,0,0,0,0,1
1994,clinton951130.txt,Democrat,15,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,4,0,0,29,1,0,0,1,1,1,0,0,3,1,1,0,2,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1996,clinton960202.txt,Democrat,32,21,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,20,1,0,120,3,4,1,1,0,0,0,1,25,3,8,1,3,2,0,1,1,0,0,0,0,0,0,0,3,0,0,0,15,1,0,0,0,0,0,1,0,0,1
1996,clinton960211.txt,Democrat,34,26,0,1,2,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,16,23,1,0,86,4,8,3,0,0,0,0,0,7,3,7,3,4,1,3,1,0,0,1,0,0,0,0,0,2,0,0,0,16,0,1,0,0,0,0,1,0,0,1
1996,clinton960216.txt,Democrat,18,14,0,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,12,1,0,92,5,5,1,2,0,0,0,0,5,1,4,0,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,13,1,0,0,0,0,0,0,0,0,1
1996,clinton960217.txt,Democrat,27,3,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,14,0,1,84,3,0,2,1,2,0,0,0,10,2,6,1,0,1,2,0,0,0,1,0,0,0,0,0,2,0,0,0,7,0,1,0,1,0,0,1,0,0,1
1996,clinton960304.txt,Democrat,22,15,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,20,0,0,61,5,1,0,1,0,0,0,0,13,6,5,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,13,1,1,0,2,0,0,0,0,0,1
1996,clinton960429.txt,Democrat,32,10,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,11,0,0,81,3,3,3,0,0,0,0,0,12,7,4,1,4,4,2,0,1,1,0,0,0,0,0,0,1,0,0,0,10,0,0,0,2,0,0,0,0,0,1
1996,clinton960517.txt,Democrat,9,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,12,2,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1996,clinton960523.txt,Democrat,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,22,0,0,0,0,0,0,0,0,2,1,2,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,1,1,0,0,1,0,0,0,0,1
1996,clinton960609.txt,Democrat,8,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,62,6,1,0,0,0,0,0,0,4,4,6,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0,0,0,0,0,1
1996,clinton960610.txt,Democrat,8,3,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,32,3,1,0,2,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1996,clinton960710.txt,Democrat,12,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,7,6,0,0,73,5,1,1,2,0,1,0,0,11,2,4,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1
1996,clinton960723.txt,Democrat,21,14,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,6,7,0,0,55,4,2,1,2,0,0,0,0,6,3,5,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1
1996,clinton960826.txt,Democrat,37,24,0,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,17,1,1,114,7,1,1,0,0,0,0,0,9,8,8,2,0,1,3,0,0,1,2,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,1
1996,clinton960906.txt,Democrat,16,14,0,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,14,0,0,60,3,3,2,0,0,0,0,0,10,3,7,0,2,3,0,0,0,1,0,0,0,0,0,0,3,0,0,0,12,0,1,0,0,0,0,1,0,0,1
1996,clinton960929.txt,Democrat,37,24,0,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,18,1,1,114,6,1,1,0,0,0,0,0,9,8,9,2,0,1,3,0,0,1,2,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,1
1996,dole960203.txt,Republican,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,dole960217.txt,Republican,8,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,26,1,0,0,0,2,1,0,0,5,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1996,dole960222.txt,Republican,8,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,26,1,0,0,0,2,1,0,0,5,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1996,dole960227.txt,Republican,19,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,16,7,0,0,70,7,7,1,0,0,0,0,0,3,8,1,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,23,1,0,0,0,0,0,1,0,0,0
1996,dole960229.txt,Republican,16,11,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,6,0,0,43,17,8,5,1,0,0,0,1,1,2,3,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0
1996,dole960419.txt,Republican,27,21,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,9,6,0,0,73,9,4,1,1,0,0,0,3,5,3,1,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
1996,dole960515.txt,Republican,7,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,5,0,0,30,1,1,1,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,dole960521.txt,Republican,25,13,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,7,9,0,0,34,2,3,1,0,0,2,0,2,3,5,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0
1996,dole960528.txt,Republican,13,7,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,6,0,0,32,7,1,3,0,0,0,0,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,2,0,0,0,0,2,1,0,0
1996,dole960601.txt,Republican,23,5,0,4,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,15,3,0,95,14,15,5,1,1,0,1,0,1,3,1,0,1,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,16,0,2,0,0,0,0,0,0,0,0
1996,dole960603.txt,Republican,21,5,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,9,10,1,0,60,11,5,0,0,0,0,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0
1996,dole960717.txt,Republican,15,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,6,7,0,0,49,9,0,0,0,0,0,0,0,3,3,1,0,0,4,0,0,0,1,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
1996,dole960815.txt,Republican,27,24,0,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,2,40,18,3,0,150,7,0,0,0,3,0,0,0,3,7,5,2,0,2,2,1,2,0,0,0,1,0,0,0,1,0,0,0,2,3,0,0,0,1,0,1,0,1,0
1996,dole960818.txt,Republican,11,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,9,0,0,42,11,4,2,0,0,0,0,0,4,5,3,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0
1996,dole960827.txt,Republican,12,21,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,5,0,0,35,5,0,0,0,0,0,0,0,4,4,0,2,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,33,1,0,1,0,0,0,1,0,0,0
1996,dole960916.txt,Republican,36,18,0,1,1,0,0,2,1,0,0,0,0,2,0,0,0,0,0,0,0,6,1,0,0,0,1,0,0,0,0,0,0,17,14,0,0,63,13,2,2,0,0,0,0,1,13,8,1,1,1,3,2,0,0,1,0,0,0,0,0,0,0,1,0,0,24,4,0,0,0,0,0,1,0,0,0
1996,dole961001.txt,Republican,19,9,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,12,1,1,42,7,2,6,0,1,0,0,0,2,8,3,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,31,2,0,0,0,0,0,0,0,0,0
1996,dole961010.txt,Republican,9,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,29,0,3,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,25,1,0,0,0,0,0,0,0,0,0
1996,dole961011.txt,Republican,22,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,11,11,0,0,61,17,6,4,0,0,0,0,1,2,7,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,28,1,0,0,0,1,0,0,0,0,0
1996,dole961031.txt,Republican,18,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,16,9,0,0,70,7,7,5,0,0,0,0,0,12,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,2,0,0,0,0,0,1,0,0,0
1996,dole961105.txt,Republican,16,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,0,38,6,3,1,1,1,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0
2000,bush000306.txt,Republican,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2000,bush000307.txt,Republican,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,23,2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1
2000,bush000314.txt,Republican,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,1,0,1,19,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2000,bush000608.txt,Republican,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,15,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2000,bush000710.txt,Republican,14,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,3,0,0,20,9,5,2,0,0,0,0,0,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2000,bush000803.txt,Republican,41,10,0,6,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,27,19,1,0,116,4,5,0,1,1,0,0,0,7,5,4,5,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,1
2000,bush000825.txt,Republican,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,7,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2000,bush001024.txt,Republican,15,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,35,3,2,0,0,0,0,0,0,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,1
2000,bush001102.txt,Republican,5,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,22,10,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,1
2000,bush001103.txt,Republican,19,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15,8,0,0,50,9,3,1,0,0,1,0,0,1,2,2,3,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1
2000,gore000210.txt,Democrat,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,16,0,0,0,2,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
2000,gore000327.txt,Democrat,14,5,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,12,0,0,64,2,1,0,0,2,1,0,0,1,3,0,1,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,gore000428.txt,Democrat,3,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
