because_CS,0.515895546,,because_CS,0.515895546,,because_CS,0.515895546,,because_CS,0.515895546,,Mean,Median,,november_NP,-0.003331355,,Mean,Median,,because_CS,0.515895546,,deserve_VB,-0.088759406
that's_DT,0.495179924,,last_AP,0.124640496,,wealthiest_JJT,0.287482453,,wealthiest_JJT,0.287482453,,0.10943255,0.090621573,,strategy_NN,-0.018590787,,-0.087536962,-0.066071872,,wealthiest_JJT,0.287482453,,number_NN,-0.092189857
we've_PPSS,0.444663974,,year_NN,0.068992978,,because_RB,0.238823134,,because_RB,0.238823134,,,,,morning_NN,-0.02544397,,,,,because_RB,0.238823134,,east_NR,-0.095534435
why_WRB,0.433132429,,say_VB,0.155945752,,try_VB,0.234084846,,try_VB,0.234084846,,,,,issues_NNS,-0.027720614,,,,,try_VB,0.234084846,,exactly_RB,-0.117247516
folks_NNS,0.39123346,,down_RP,0.23338286,,down_RP,0.23338286,,down_RP,0.23338286,,,,,live_VB,-0.027886359,,,,,down_RP,0.23338286,,drug_NN,-0.124397965
so_CS,0.381141065,,i've_PPSS,0.159949272,,there's_EX,0.228729408,,there's_EX,0.228729408,,,,,share_VB,-0.029852512,,,,,there's_EX,0.228729408,,freedom_NN,-0.130757861
got_VBD,0.355659596,,first_OD,-0.078337063,,republicans_NPS,0.223934784,,republicans_NPS,0.223934784,,,,,fundamental_JJ,-0.035579032,,,,,republicans_NPS,0.223934784,,nuclear_JJ,-0.139418473
that_CS,0.351645668,,then_RB,0.04285729,,2008_CD,0.217406702,,2008_CD,0.217406702,,,,,during_IN,-0.037831107,,,,,2008_CD,0.217406702,,achieve_VB,-0.152059781
everybody_PN,0.344145376,,always_RB,-0.065361049,,depression_NN,0.215746659,,depression_NN,0.215746659,,,,,necessary_JJ,-0.03990442,,,,,depression_NN,0.215746659,,answer_NN,-0.188268245
college_NN,0.336406315,,change_VB,0.098565185,,looking_VBG,0.196485836,,looking_VBG,0.196485836,,,,,gave_VBD,-0.040647034,,,,,looking_VBG,0.196485836,,courage_NN,-0.189740978
decade_NN,0.331456087,,there's_EX,0.228729408,,getting_VBG,0.196056975,,getting_VBG,0.196056975,,,,,accountability_NN,-0.041348567,,,,,getting_VBG,0.196056975,,clinton_NP,-0.196828854
what_WDT.,0.328489365,,freedom_NN,-0.130757861,,i've_PPSS,0.159949272,,i've_PPSS,0.159949272,,,,,parties_NNS,-0.051009779,,,,,i've_PPSS,0.159949272,,record_NN,-0.220874626
laughter_NP,0.327959378,,obama_NP,-0.403758908,,say_VB,0.155945752,,say_VB,0.155945752,,,,,safe_JJ,-0.052120269,,,,,say_VB,0.155945752,,obama_NP,-0.403758908
work_VB,0.323048656,,understand_VB,0.134431232,,recession_NN,0.152046366,,recession_NN,0.152046366,,,,,given_VBN,-0.053531276,,,,,recession_NN,0.152046366,,Total = 13 words,
roads_NNS,0.314606599,,getting_VBG,0.196056975,,happens_VBZ,0.143730824,,happens_VBZ,0.143730824,,,,,full_JJ,-0.055578811,,,,,happens_VBZ,0.143730824,,,
you_PPSS,0.313561212,,clinton_NP,-0.196828854,,decades_NNS,0.143240411,,decades_NNS,0.143240411,,,,,almost_RB,-0.05717971,,,,,decades_NNS,0.143240411,,,
together_RB,0.309332391,,nuclear_JJ,-0.139418473,,works_VBZ,0.142085241,,works_VBZ,0.142085241,,,,,anyone_PN,-0.057887588,,,,,works_VBZ,0.142085241,,,
just_RB,0.307049134,,already_RB,0.089334332,,understand_VB,0.134431232,,understand_VB,0.134431232,,,,,past_NN,-0.059342295,,,,,understand_VB,0.134431232,,,
this_DT,0.306786874,,live_VB,-0.027886359,,helping_VBG,0.13093311,,helping_VBG,0.13093311,,,,,threat_NN,-0.059574628,,,,,helping_VBG,0.13093311,,,
now_RB,0.305530941,,choose_VB,0.002040833,,struggling_VBG,0.126440059,,struggling_VBG,0.126440059,,,,,always_RB,-0.065361049,,,,,struggling_VBG,0.126440059,,,
we_PPSS,0.304108393,,clear_JJ,-0.076562722,,streets_NNS,0.124807066,,streets_NNS,0.124807066,,,,,republican_NP,-0.065888653,,,,,streets_NNS,0.124807066,,,
willing_JJ,0.301895877,,moment_NN,0.123467099,,last_AP,0.124640496,,last_AP,0.124640496,,,,,show_VB,-0.066255091,,,,,last_AP,0.124640496,,,
sick_JJ,0.300687652,,use_VB,-0.083230966,,moment_NN,0.123467099,,moment_NN,0.123467099,,,,,example_NN,-0.075453274,,,,,moment_NN,0.123467099,,,
chance_NN,0.299321085,,fair_JJ,0.067257862,,steps_NNS,0.111821139,,steps_NNS,0.111821139,,,,,clear_JJ,-0.076562722,,,,,steps_NNS,0.111821139,,,
4_CD,0.298722269,,republicans_NPS,0.223934784,,tried_VBD,0.098736927,,tried_VBD,0.098736927,,,,,first_OD,-0.078337063,,,,,Total = 24,,,,
investing_VBG,0.296872862,,try_VB,0.234084846,,change_VB,0.098565185,,change_VB,0.098565185,,,,,plans_NNS,-0.081312336,,,,,,,,,
how_WRB,0.294207842,,number_NN,-0.092189857,,iowa_NP,0.095615245,,iowa_NP,0.095615245,,,,,leader_NN,-0.082796324,,,,,,,,,
wealthiest_JJT,0.287482453,,because_RB,0.238823134,,cities_NNS,0.093897366,,cities_NNS,0.093897366,,,,,use_VB,-0.083230966,,,,,,,,,
after_IN,0.282935003,,side_NN,0.088941282,,story_NN,0.091908814,,story_NN,0.091908814,,,,,past_AP,-0.087157903,,,,,,,,,
sure_JJ,0.28228481,,since_CS,0.008554607,,already_RB,0.089334332,,already_RB,0.089334332,,,,,deserve_VB,-0.088759406,,,,,,,,,
afford_VB,0.280956274,,record_NN,-0.220874626,,helped_VBD,0.089115826,,helped_VBD,0.089115826,,,,,number_NN,-0.092189857,,,,,,,,,
we'll_PPSS,0.27929337,,ahead_RB,0.085939584,,side_NN,0.088941282,,side_NN,0.088941282,,,,,east_NR,-0.095534435,,,,,,,,,
breaks_VBZ,0.274325426,,decades_NNS,0.143240411,,ahead_RB,0.085939584,,ahead_RB,0.085939584,,,,,exactly_RB,-0.117247516,,,,,,,,,
right_QL,0.273524934,,during_IN,-0.037831107,,hire_VB,0.082643566,,hire_VB,0.082643566,,,,,drug_NN,-0.124397965,,,,,,,,,
here_RB,0.271450842,,struggling_VBG,0.126440059,,aren't_BER,0.078181473,,aren't_BER,0.078181473,,,,,freedom_NN,-0.130757861,,,,,,,,,
mccain_NP,0.268486222,,helping_VBG,0.13093311,,year_NN,0.068992978,,year_NN,0.068992978,,,,,nuclear_JJ,-0.139418473,,,,,,,,,
want_VB,0.268431663,,looking_VBG,0.196485836,,cutting_VBG,0.068234534,,cutting_VBG,0.068234534,,,,,achieve_VB,-0.152059781,,,,,,,,,
go_VB,0.268141732,,example_NN,-0.075453274,,began_VBD,0.067994893,,began_VBD,0.067994893,,,,,answer_NN,-0.188268245,,,,,,,,,
doing_VBG,0.266848239,,story_NN,0.091908814,,fair_JJ,0.067257862,,fair_JJ,0.067257862,,,,,courage_NN,-0.189740978,,,,,,,,,
rebuilding_VBG,0.258592928,,aren't_BER,0.078181473,,decide_VB,0.061066396,,decide_VB,0.061066396,,,,,clinton_NP,-0.196828854,,,,,,,,,
that's_WPS,0.257990861,,solve_VB,0.01608452,,called_VBN,0.044063883,,called_VBN,0.044063883,,,,,record_NN,-0.220874626,,,,,,,,,
forward_RB,0.255281337,,in_RP,0.026102726,,–_VBZ,0.043559991,,–_VBZ,0.043559991,,,,,obama_NP,-0.403758908,,,,,,,,,
you're_PPSS,0.25490422,,gave_VBD,-0.040647034,,facing_VBG,0.04314419,,facing_VBG,0.04314419,,,,,Total = 42 words,,,,,,,,,,
young_JJ,0.254208412,,strategy_NN,-0.018590787,,then_RB,0.04285729,,then_RB,0.04285729,,,,,,,,,,,,,,,
2_CD,0.25302371,,knew_VBD,0.027160225,,student_NN,0.040000466,,student_NN,0.040000466,,,,,,,,,,,,,,,
tell_VB,0.252115238,,coverage_NN,0.026060663,,prevent_VB,0.037648269,,prevent_VB,0.037648269,,,,,,,,,,,,,,,
21st_OD,0.250797198,,2008_CD,0.217406702,,losing_VBG,0.03021376,,losing_VBG,0.03021376,,,,,,,,,,,,,,,
they're_PPSS,0.250573209,,given_VBN,-0.053531276,,knew_VBD,0.027160225,,knew_VBD,0.027160225,,,,,,,,,,,,,,,
who's_WPS,0.250327923,,deserve_VB,-0.088759406,,housing_NN,0.026392224,,housing_NN,0.026392224,,,,,,,,,,,,,,,
need_VB,0.245308884,,iowa_NP,0.095615245,,in_RP,0.026102726,,in_RP,0.026102726,,,,,,,,,,,,,,,
if_CS,0.244429663,,full_JJ,-0.055578811,,coverage_NN,0.026060663,,coverage_NN,0.026060663,,,,,,,,,,,,,,,
remind_VB,0.242907034,,tried_VBD,0.098736927,,race_NN,0.022351294,,race_NN,0.022351294,,,,,,,,,,,,,,,
can_MD,0.241929608,,threat_NN,-0.059574628,,solve_VB,0.01608452,,solve_VB,0.01608452,,,,,,,,,,,,,,,
companies_NNS,0.240698982,,issues_NNS,-0.027720614,,news_NN,0.014162757,,news_NN,0.014162757,,,,,,,,,,,,,,,
we're_PPSS,0.240613636,,hire_VB,0.082643566,,since_CS,0.008554607,,since_CS,0.008554607,,,,,,,,,,,,,,,
because_RB,0.238823134,,plans_NNS,-0.081312336,,differences_NNS,0.006403645,,differences_NNS,0.006403645,,,,,,,,,,,,,,,
members_NNS,0.236979411,,drug_NN,-0.124397965,,set_VB,0.002293044,,set_VB,0.002293044,,,,,,,,,,,,,,,
3_CD,0.23642829,,fundamental_JJ,-0.035579032,,choose_VB,0.002040833,,choose_VB,0.002040833,,,,,,,,,,,,,,,
here's_RB,0.235398246,,november_NP,-0.003331355,,november_NP,-0.003331355,,Total = 58 words,,,,,,,,,,,,,,,,
it's_PPS,0.234727063,,race_NN,0.022351294,,strategy_NN,-0.018590787,,,,,,,,,,,,,,,,,,
try_VB,0.234084846,,almost_RB,-0.05717971,,morning_NN,-0.02544397,,,,,,,,,,,,,,,,,,
deficit_NN,0.233529517,,helped_VBD,0.089115826,,issues_NNS,-0.027720614,,,,,,,,,,,,,,,,,,
down_RP,0.23338286,,past_AP,-0.087157903,,live_VB,-0.027886359,,,,,,,,,,,,,,,,,,
main_JJS,0.233094907,,wealthiest_JJT,0.287482453,,share_VB,-0.029852512,,,,,,,,,,,,,,,,,,
hard_RB,0.232590592,,past_NN,-0.059342295,,fundamental_JJ,-0.035579032,,,,,,,,,,,,,,,,,,
able_JJ,0.232172336,,share_VB,-0.029852512,,during_IN,-0.037831107,,,,,,,,,,,,,,,,,,
change_NN,0.232098805,,courage_NN,-0.189740978,,necessary_JJ,-0.03990442,,,,,,,,,,,,,,,,,,
see_VB,0.231969635,,set_VB,0.002293044,,gave_VBD,-0.040647034,,,,,,,,,,,,,,,,,,
tuition_NN,0.229055565,,news_NN,0.014162757,,accountability_NN,-0.041348567,,,,,,,,,,,,,,,,,,
there's_EX,0.228729408,,cities_NNS,0.093897366,,parties_NNS,-0.051009779,,,,,,,,,,,,,,,,,,
what's_WDT.,0.228371661,,necessary_JJ,-0.03990442,,safe_JJ,-0.052120269,,,,,,,,,,,,,,,,,,
10_CD,0.226938317,,housing_NN,0.026392224,,given_VBN,-0.053531276,,,,,,,,,,,,,,,,,,
bless_VB,0.225808142,,parties_NNS,-0.051009779,,full_JJ,-0.055578811,,,,,,,,,,,,,,,,,,
same_AP,0.225402863,,answer_NN,-0.188268245,,almost_RB,-0.05717971,,,,,,,,,,,,,,,,,,
republicans_NPS,0.223934784,,facing_VBG,0.04314419,,anyone_PN,-0.057887588,,,,,,,,,,,,,,,,,,
colleges_NNS,0.223156271,,exactly_RB,-0.117247516,,past_NN,-0.059342295,,,,,,,,,,,,,,,,,,
corporations_NNS,0.221083348,,anyone_PN,-0.057887588,,threat_NN,-0.059574628,,,,,,,,,,,,,,,,,,
election_NN,0.219677847,,safe_JJ,-0.052120269,,always_RB,-0.065361049,,,,,,,,,,,,,,,,,,
audience_NN,0.219566484,,began_VBD,0.067994893,,republican_NP,-0.065888653,,,,,,,,,,,,,,,,,,
you've_PPSS,0.219448947,,steps_NNS,0.111821139,,show_VB,-0.066255091,,,,,,,,,,,,,,,,,,
some_DTI,0.217762382,,called_VBN,0.044063883,,example_NN,-0.075453274,,,,,,,,,,,,,,,,,,
2008_CD,0.217406702,,differences_NNS,0.006403645,,clear_JJ,-0.076562722,,,,,,,,,,,,,,,,,,
up_RP,0.216340433,,achieve_VB,-0.152059781,,first_OD,-0.078337063,,,,,,,,,,,,,,,,,,
depression_NN,0.215746659,,depression_NN,0.215746659,,plans_NNS,-0.081312336,,,,,,,,,,,,,,,,,,
made_VBD,0.21523136,,show_VB,-0.066255091,,leader_NN,-0.082796324,,,,,,,,,,,,,,,,,,
century_NN,0.210280425,,student_NN,0.040000466,,use_VB,-0.083230966,,,,,,,,,,,,,,,,,,
asking_VBG,0.209834959,,cutting_VBG,0.068234534,,past_AP,-0.087157903,,,,,,,,,,,,,,,,,,
idea_NN,0.209780069,,works_VBZ,0.142085241,,deserve_VB,-0.088759406,,,,,,,,,,,,,,,,,,
reason_NN,0.209610208,,recession_NN,0.152046366,,number_NN,-0.092189857,,,,,,,,,,,,,,,,,,
they've_PPSS,0.209328281,,accountability_NN,-0.041348567,,east_NR,-0.095534435,,,,,,,,,,,,,,,,,,
class_NN,0.208610337,,republican_NP,-0.065888653,,exactly_RB,-0.117247516,,,,,,,,,,,,,,,,,,
united_VBN,0.207840699,,decide_VB,0.061066396,,drug_NN,-0.124397965,,,,,,,,,,,,,,,,,,
working_VBG,0.207644934,,happens_VBZ,0.143730824,,freedom_NN,-0.130757861,,,,,,,,,,,,,,,,,,
you'll_PPSS,0.207524554,,losing_VBG,0.03021376,,nuclear_JJ,-0.139418473,,,,,,,,,,,,,,,,,,
when_WRB,0.20689855,,prevent_VB,0.037648269,,achieve_VB,-0.152059781,,,,,,,,,,,,,,,,,,
can't_MD,0.203719568,,leader_NN,-0.082796324,,answer_NN,-0.188268245,,,,,,,,,,,,,,,,,,
give_VB,0.203493051,,–_VBZ,0.043559991,,courage_NN,-0.189740978,,,,,,,,,,,,,,,,,,
john_NP,0.199739287,,east_NR,-0.095534435,,clinton_NP,-0.196828854,,,,,,,,,,,,,,,,,,
cuts_VBZ,0.198266971,,morning_NN,-0.02544397,,record_NN,-0.220874626,,,,,,,,,,,,,,,,,,
anybody_PN,0.197661084,,streets_NNS,0.124807066,,obama_NP,-0.403758908,,,,,,,,,,,,,,,,,,
they'll_PPSS,0.197337836,,,,,,,,,,,,,,,,,,,,,,,,
look_VB,0.19670318,,,,,,,,,,,,,,,,,,,,,,,,
looking_VBG,0.196485836,,,,,,,,,,,,,,,,,,,,,,,,
250_CD,0.196176056,,,,,,,,,,,,,,,,,,,,,,,,
getting_VBG,0.196056975,,,,,,,,,,,,,,,,,,,,,,,,
that_DT,0.195243828,,,,,,,,,,,,,,,,,,,,,,,,
make_VB,0.195218886,,,,,,,,,,,,,,,,,,,,,,,,
or_CC,0.194185953,,,,,,,,,,,,,,,,,,,,,,,,
making_VBG,0.1941007,,,,,,,,,,,,,,,,,,,,,,,,
politics_NN,0.193957945,,,,,,,,,,,,,,,,,,,,,,,,
years_NNS,0.193466478,,,,,,,,,,,,,,,,,,,,,,,,
auto_NN,0.192939257,,,,,,,,,,,,,,,,,,,,,,,,
come_VB,0.192494088,,,,,,,,,,,,,,,,,,,,,,,,
actually_RB,0.191510377,,,,,,,,,,,,,,,,,,,,,,,,
doors_NNS,0.190938714,,,,,,,,,,,,,,,,,,,,,,,,
back_RB,0.190909385,,,,,,,,,,,,,,,,,,,,,,,,
easy_JJ,0.189330984,,,,,,,,,,,,,,,,,,,,,,,,
top_NN,0.189077315,,,,,,,,,,,,,,,,,,,,,,,,
don't_DO,0.188292941,,,,,,,,,,,,,,,,,,,,,,,,
but_CC,0.186081529,,,,,,,,,,,,,,,,,,,,,,,,
thing_NN,0.186068114,,,,,,,,,,,,,,,,,,,,,,,,
communities_NNS,0.185258392,,,,,,,,,,,,,,,,,,,,,,,,
maybe_RB,0.184473565,,,,,,,,,,,,,,,,,,,,,,,,
still_RB,0.184163815,,,,,,,,,,,,,,,,,,,,,,,,
neighbors_NNS,0.18389545,,,,,,,,,,,,,,,,,,,,,,,,
running_VBG,0.18368359,,,,,,,,,,,,,,,,,,,,,,,,
middle_JJ,0.183079826,,,,,,,,,,,,,,,,,,,,,,,,
i'll_PPSS,0.182938787,,,,,,,,,,,,,,,,,,,,,,,,
kids_NNS,0.181452079,,,,,,,,,,,,,,,,,,,,,,,,
banks_NNS,0.181353809,,,,,,,,,,,,,,,,,,,,,,,,
workers_NNS,0.181265468,,,,,,,,,,,,,,,,,,,,,,,,
invest_VB,0.181004939,,,,,,,,,,,,,,,,,,,,,,,,
stay_VB,0.178884042,,,,,,,,,,,,,,,,,,,,,,,,
started_VBD,0.178103691,,,,,,,,,,,,,,,,,,,,,,,,
saw_VBD,0.177304403,,,,,,,,,,,,,,,,,,,,,,,,
said_VBD,0.176729018,,,,,,,,,,,,,,,,,,,,,,,,
work_NN,0.17603897,,,,,,,,,,,,,,,,,,,,,,,,
generation_NN,0.175642503,,,,,,,,,,,,,,,,,,,,,,,,
months_NNS,0.175102112,,,,,,,,,,,,,,,,,,,,,,,,
